60.9    Physics    Hiqmet Kamberaj    Classical Mechanics
68.0    Chemistry    Fabrizio Cavani    Sustainable Industrial Processes
21.9    Physics    B. P. Cowan    Classical Mechanics
45.2    Mathematics    Dean G. Duffy    Advanced Engineering Mathematics with MATLAB
123.0    Mathematics    Dunham Jackson    Fourier Series and Orthogonal Polynomials
111.0    Mathematics    Paulo Guilherme Santos    Diagonalization in Formal Mathematics
39.0    Mathematics    Helena Rasiowa    Introduction to Modern Mathematics
77.0    Mathematics    Jerzy Zabczyk    Mathematical Control Theory: An Introduction
99.0    Physics    G. C. King    Vibrations and Waves
80.3    Physics    A. Douglas Davis    Classical Mechanics
33.0    Chemistry    R. M. Christie    Colour Chemistry
93.0    Chemistry    William Ramsay    Introduction to the Study of Physical Chemistry
81.0    Mathematics    Edward Barbeau    Polynomials
58.1    Chemistry    James Ralph Hanson    Chemistry and Medicines: An Introductory Text
78.1    Chemistry    K. Jones    The Chemistry of Nitrogen
82.0    Physics    Frederick Colin Flack    Motion and Units
90.0    Physics    Howard Reiss    Methods of Thermodynamics
100.0    Physics    Palash B. Pal    An Introductory Course of Particle Physics
57.0    Mathematics    Vijay K. Rohatgi    Statistical Inference
190.0    Physics    Hugh Muirhead    Notes on Elementary Particle Physics
60.0    Mathematics    David W. Cohen    An Introduction to Hilbert Space and Quantum Logic
50.0    Mathematics    Reuben Louis Goodstein    Fundamental Concepts of Mathematics
50.0    Physics    Christopher G. Tully    Elementary Particle Physics in a Nutshell
201.9    Chemistry    Catherine Housecroft    Inorganic Chemistry
55.0    Mathematics    Albert N. Shiryaev    Problems in Probability
